expiry,instrument_key,trading_symbol,strike,option_type,lot_size,tick_size,underlying_key,weekly
2026-08-11,NSE_FO|40999|11-08-2026,NIFTY 24200 CE 11 AUG 26,24200.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41000|11-08-2026,NIFTY 24200 PE 11 AUG 26,24200.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41001|11-08-2026,NIFTY 24250 CE 11 AUG 26,24250.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41002|11-08-2026,NIFTY 24250 PE 11 AUG 26,24250.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41003|11-08-2026,NIFTY 24300 CE 11 AUG 26,24300.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41004|11-08-2026,NIFTY 24300 PE 11 AUG 26,24300.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41005|11-08-2026,NIFTY 24350 CE 11 AUG 26,24350.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41006|11-08-2026,NIFTY 24350 PE 11 AUG 26,24350.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41007|11-08-2026,NIFTY 24400 CE 11 AUG 26,24400.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41008|11-08-2026,NIFTY 24400 PE 11 AUG 26,24400.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41009|11-08-2026,NIFTY 24450 CE 11 AUG 26,24450.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41010|11-08-2026,NIFTY 24450 PE 11 AUG 26,24450.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41011|11-08-2026,NIFTY 24500 CE 11 AUG 26,24500.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41012|11-08-2026,NIFTY 24500 PE 11 AUG 26,24500.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41013|11-08-2026,NIFTY 24550 CE 11 AUG 26,24550.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41014|11-08-2026,NIFTY 24550 PE 11 AUG 26,24550.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41015|11-08-2026,NIFTY 24600 CE 11 AUG 26,24600.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41016|11-08-2026,NIFTY 24600 PE 11 AUG 26,24600.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41017|11-08-2026,NIFTY 24650 CE 11 AUG 26,24650.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41019|11-08-2026,NIFTY 24650 PE 11 AUG 26,24650.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41020|11-08-2026,NIFTY 24700 CE 11 AUG 26,24700.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41024|11-08-2026,NIFTY 24700 PE 11 AUG 26,24700.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41025|11-08-2026,NIFTY 24750 CE 11 AUG 26,24750.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41026|11-08-2026,NIFTY 24750 PE 11 AUG 26,24750.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41027|11-08-2026,NIFTY 24800 CE 11 AUG 26,24800.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41028|11-08-2026,NIFTY 24800 PE 11 AUG 26,24800.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41029|11-08-2026,NIFTY 24850 CE 11 AUG 26,24850.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41030|11-08-2026,NIFTY 24850 PE 11 AUG 26,24850.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41031|11-08-2026,NIFTY 24900 CE 11 AUG 26,24900.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41032|11-08-2026,NIFTY 24900 PE 11 AUG 26,24900.0,PE,65,5.0,NSE_INDEX|Nifty 50,True
2026-08-11,NSE_FO|41033|11-08-2026,NIFTY 24950 CE 11 AUG 26,24950.0,CE,65,5.0,NSE_INDEX|Nifty 50,True
