timestamp,open,high,low,close,volume,open_interest,expiry,strike,option_type,instrument_key,trading_symbol,lot_size
2026-08-04 09:15:00+05:30,2.04,2.15,1.7,1.7,80080,2232945,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:20:00+05:30,1.7,1.85,1.6,1.7,62660,2259595,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:25:00+05:30,1.75,1.75,1.55,1.55,44330,2258750,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:30:00+05:30,1.55,1.6,1.5,1.55,33345,2256280,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:35:00+05:30,1.5,1.5,1.4,1.45,44070,2255565,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:40:00+05:30,1.45,1.5,1.4,1.4,27170,2252510,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:45:00+05:30,1.4,1.45,1.4,1.45,12870,2257710,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:50:00+05:30,1.45,1.55,1.45,1.5,12740,2252965,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 09:55:00+05:30,1.55,1.55,1.5,1.5,14495,2253745,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:00:00+05:30,1.5,1.55,1.5,1.5,5850,2256865,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:05:00+05:30,1.5,1.55,1.5,1.55,5915,2252640,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:10:00+05:30,1.55,1.55,1.5,1.5,3445,2254200,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:15:00+05:30,1.55,1.55,1.4,1.45,41275,2281110,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:20:00+05:30,1.45,1.45,1.4,1.45,2275,2282410,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:25:00+05:30,1.4,1.45,1.4,1.45,2340,2284295,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:30:00+05:30,1.45,1.45,1.4,1.4,3575,2284295,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
2026-08-04 10:35:00+05:30,1.4,1.45,1.35,1.4,17290,2293070,2026-08-11,21600.0,PE,NSE_FO|40880|11-08-2026,NIFTY 21600 PE 11 AUG 26,65
