fetch_time,expiry,strike,spot_price,pcr,ce_instrument_key,ce_ltp,ce_volume,ce_oi,ce_prev_oi,ce_oi_change,ce_close,ce_bid,ce_bid_qty,ce_ask,ce_ask_qty,ce_iv,ce_delta,ce_gamma,ce_theta,ce_vega,ce_pop,pe_instrument_key,pe_ltp,pe_volume,pe_oi,pe_prev_oi,pe_oi_change,pe_close,pe_bid,pe_bid_qty,pe_ask,pe_ask_qty,pe_iv,pe_delta,pe_gamma,pe_theta,pe_vega,pe_pop
2026-08-23 21:57:18,2026-09-01,23500.0,24252.0,52.3048,NSE_FO|46965,817.45,27755,32630.0,15340.0,17290.0,820.5,809.45,65,819.35,195,14.21,0.9129,0.0003,-4.317,6.6813,47.9,NSE_FO|46966,7.85,2830230,1706705.0,1219530.0,487175.0,11.2,7.75,130,8.1,65,11.05,-0.0412,0.0002,-1.8701,3.7218,4.14
2026-08-23 21:57:18,2026-09-01,23550.0,24252.0,229.6667,NSE_FO|46967,776.2,260,585.0,585.0,0.0,784.85,757.3,65,780.55,65,14.8,0.889,0.0003,-5.3723,7.9803,47.33,NSE_FO|46968,9.0,401895,134355.0,63635.0,70720.0,12.4,8.2,260,9.7,1300,10.76,-0.0475,0.0002,-2.043,4.1755,4.74
2026-08-23 21:57:18,2026-09-01,23600.0,24252.0,234.211,NSE_FO|46969,723.4,4810,7085.0,4615.0,2470.0,725.6,713.2,65,723.2,390,13.63,0.8918,0.0003,-4.8558,7.835,47.43,NSE_FO|46970,10.05,2495545,1659385.0,889980.0,769405.0,14.1,9.65,260,10.0,65,10.45,-0.0542,0.0002,-2.2052,4.6387,5.36
2026-08-23 21:57:18,2026-09-01,23650.0,24252.0,624.2,NSE_FO|46971,708.95,0,325.0,325.0,0.0,708.95,553.75,65,807.8,780,16.63,0.8274,0.0004,-8.1482,10.7712,45.7,NSE_FO|46972,11.45,620815,202865.0,131755.0,71110.0,16.4,11.3,3380,12.4,520,10.1,-0.0618,0.0003,-2.3627,5.1425,6.06
2026-08-23 21:57:18,2026-09-01,23700.0,24252.0,57.0323,NSE_FO|46973,626.9,26585,22165.0,24115.0,-1950.0,623.65,617.25,260,626.1,130,12.57,0.8737,0.0004,-5.0001,8.7433,47.03,NSE_FO|46974,14.25,1897025,1264120.0,1079260.0,184860.0,18.8,13.5,3380,14.25,650,9.89,-0.0743,0.0003,-2.6645,5.9248,7.19
2026-08-23 21:57:18,2026-09-01,23750.0,24252.0,89.7912,NSE_FO|46975,575.75,2340,5915.0,5655.0,260.0,574.8,575.75,65,583.95,65,11.55,0.8716,0.0004,-4.6448,8.841,47.02,NSE_FO|46976,16.9,1036230,531115.0,187265.0,343850.0,22.2,16.25,65,16.9,455,9.72,-0.0887,0.0004,-2.993,6.7702,8.47
2026-08-23 21:57:18,2026-09-01,23800.0,24252.0,22.6371,NSE_FO|46977,531.15,36205,57850.0,52845.0,5005.0,536.5,526.1,130,532.2,65,11.67,0.8458,0.0005,-5.315,10.011,46.37,NSE_FO|46978,20.5,3058900,1309555.0,819195.0,490360.0,26.1,20.5,1040,20.95,130,9.54,-0.1061,0.0005,-3.3502,7.7237,9.97
2026-08-23 21:57:18,2026-09-01,23850.0,24252.0,52.3626,NSE_FO|46979,488.0,9555,5915.0,3380.0,2535.0,490.85,476.2,65,490.1,195,11.36,0.8274,0.0005,-5.567,10.7741,45.89,NSE_FO|46980,25.85,927030,309725.0,173225.0,136500.0,31.4,25.15,715,26.05,130,9.45,-0.1289,0.0005,-3.8095,8.8675,11.88
2026-08-23 21:57:18,2026-09-01,23900.0,24252.0,10.4962,NSE_FO|46981,443.0,172380,111995.0,53170.0,58825.0,448.0,437.2,130,445.3,195,10.97,0.8069,0.0006,-5.7655,11.5541,45.34,NSE_FO|46982,31.95,3174990,1175525.0,857805.0,317720.0,37.95,31.25,65,32.0,715,9.32,-0.1547,0.0006,-4.2538,10.0315,13.94
2026-08-23 21:57:18,2026-09-01,23950.0,24252.0,36.7062,NSE_FO|46983,399.9,21840,13715.0,11180.0,2535.0,406.55,390.7,65,404.1,65,10.67,0.7817,0.0007,-6.0289,12.4277,44.62,NSE_FO|46984,38.7,1069510,503425.0,450450.0,52975.0,45.1,38.05,195,39.05,65,9.15,-0.1829,0.0007,-4.6498,11.1756,16.1
